183|만족오향족발||경기도 성남시 분당구 삼평동 670번지 유스페이스1 1층 140호, 141호|9||0|0|0|1000|30|10000
184|김인성의토평한우소곱창||경기도 성남시 분당구 삼평동 670번지 유스페이스1.   1층  121호|1||0|0|0|1000|30|8000
185|찰스숯불김밥판교점||경기도 성남시 분당구 삼평동 670번지 유스페이스1.  지하1층 B106호|3||0|0|0|1000|30|10000
186|쥐눈이콩마을김밥상||경기도 성남시 분당구 삼평동 678번지 삼환하이팩스 A동 1층 112호|3||0|0|0|1000|30|10000
187|그집피자(판교점)||경기도 성남시 분당구 삼평동 678번지 삼환하이펙스 A동 1층 118호|5||0|0|0|1000|30|10000
188|소호반점101||경기도 성남시 분당구 삼평동 678번지 삼환하이펙스 A동 지하1층 B-101호|2||0|0|0|1000|30|10000
189|신통치킨 판교테크노밸리점||경기도 성남시 분당구 삼평동 678번지 삼환하이펙스A동  2층 214호,215호,216호|4||0|0|0|1000|30|10000
190|조랭이부대찌개앤생삼겹살||경기도 성남시 분당구 삼평동 678번지 삼환하이펙스A동 지하1층 B-110호|1||0|0|0|1000|30|8000
191|369부대찌개＆생삼겹살||경기도 성남시 분당구 삼평동 679번지 삼환하이펙스 B동 2층 204호, 205호|1||0|0|0|1000|30|8000
192|기름짜는김밥집||경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 1층 118호|1||0|0|0|1000|30|8000
193|스타족발||경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 1층 125호|9||0|0|0|1000|30|10000
194|조마루감자탕 판교점||경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 1층 129호,130호|1||0|0|0|1000|30|8000
195|김밥천국||경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 지하1층 B119호|3||0|0|0|1000|30|10000
196|별별치킨||경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 지하1층 B122호|4||0|0|0|1000|30|10000
197|명동칼국수ㆍ샤브샤브 판교테크노밸리점||경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 지하1층 B131,B132호|1||0|0|0|1000|30|8000
